Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-10-13 17:00:00,,,1.177458,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-13.OSMO
2021-10-12 17:00:00,,,1.199205,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-12.OSMO
2021-10-11 17:00:00,,,1.21625,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-11.OSMO
2021-10-10 17:00:00,,,1.216899,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-10.OSMO
2021-10-09 17:00:00,,,1.25638,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-09.OSMO
2021-10-08 17:00:00,,,1.25128,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-08.OSMO
2021-10-07 17:00:00,,,1.315113,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-07.OSMO
2021-10-06 17:00:00,,,1.315965,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-06.OSMO
2021-10-05 17:00:00,,,1.321968,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-05.OSMO
2021-10-05 08:35:55,91.855811,AKT,,,,,,,,,4F29320E1FCC2D1D734A5C54A6FCC08D8ABE5D15AC56350D671E93DA05EC8E04-0
2021-10-04 17:00:00,,,1.325279,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-04.OSMO
2021-10-04 09:39:33,,,0.000004000,OSMO,,,,,staking,,7CD71D4D1ED2ED6B934CF1FA00FCAED34A4082404E822F3051700926DF559A04-0
2021-10-04 09:27:01,65.568791,JUNO,91.855811,AKT,,,,,,,058AD2F9870D64354862B141DA945446A38F8B5DC428A72A4E2F9B876A0FF51C-0
